Order_ID,Date,Region,State,City,Customer_ID,Customer_Name,Customer_Segment,Sales_Rep_ID,Sales_Rep_Name,Manager_Name,Product_Category,Sub_Category,Product_Name,Product_SKU,Units_Sold,Unit_Price,Discount_%,COGS,Revenue,Profit,Profit_Margin_%,Payment_Mode,Delivery_Days,Return_Flag,Customer_Rating,Channel,Quarter,Month_Name,Year
ORD-2192,2021-01-02,North,Punjab,Ludhiana,CUST-3912,Customer 147,B2B,REP-45,Rep Name 11,Manager 4,Electronics,Laptops,GamerZ 15,ELE-LAP-689,4,1290.85,15.81,2615.51,4347.11,1731.6,39.83,Cash,5,0,1,Online,Q1,Jan,2021
ORD-5342,2021-01-02,East,West Bengal,Kolkata,CUST-3372,Customer 48,B2C,REP-25,Rep Name 31,Manager 1,Office Supplies,Binders,Archive Box Pack,OFF-BIN-416,9,1436.06,16.51,8843.43,10790.33,1946.9,18.04,Credit Card,2,0,5,Partner,Q1,Jan,2021
ORD-11083,2021-01-02,East,Odisha,Bhubaneswar,CUST-7823,Customer 257,Enterprise,REP-17,Rep Name 4,Manager 2,Electronics,Laptops,ProBook X1,ELE-LAP-150,79,377.74,15.19,15474.45,25307.7,9833.25,38.85,UPI,1,1,2,Online,Q1,Jan,2021
ORD-11567,2021-01-02,Central,Madhya Pradesh,Indore,CUST-6133,Customer 67,B2B,REP-11,Rep Name 39,Manager 1,Furniture,Chairs,Exec Leather,FUR-CHA-372,3,13.31,14.98,23.6,33.95,10.35,30.48,Bank Transfer,2,0,5,Online,Q1,Jan,2021
ORD-13533,2021-01-02,South,Karnataka,Bangalore,CUST-7550,Customer 23,Enterprise,REP-32,Rep Name 34,Manager 1,Furniture,Chairs,Exec Leather,FUR-CHA-805,92,1402.77,29.8,63266.35,90593.05,27326.7,30.16,UPI,3,1,4,Partner,Q1,Jan,2021
ORD-1095,2021-01-03,East,Odisha,Bhubaneswar,CUST-1695,Customer 160,B2B,REP-44,Rep Name 15,Manager 2,Furniture,Chairs,Ergo Deluxe,FUR-CHA-318,11,1479.15,15.56,6928.22,13738.36,6810.14,49.57,Bank Transfer,5,0,3,Offline,Q1,Jan,2021
ORD-3586,2021-01-03,South,Tamil Nadu,Chennai,CUST-2222,Customer 362,B2C,REP-44,Rep Name 13,Manager 1,Office Supplies,Paper,A4 Ream Premium,OFF-PAP-286,11,1060.84,3.67,5374.88,11241.34,5866.46,52.19,Credit Card,1,0,4,Partner,Q1,Jan,2021
ORD-4979,2021-01-03,Central,Chhattisgarh,Raipur,CUST-8147,Customer 349,Enterprise,REP-33,Rep Name 31,Manager 3,Furniture,Desks,Standing Pro,FUR-DES-423,190,894.9,12.27,112305.59,149175.12,36869.53,24.72,Bank Transfer,11,,4,Partner,Q1,Jan,2021
ORD-14232,2021-01-03,South,Karnataka,Bangalore,CUST-6470,Customer 182,B2B,REP-17,Rep Name 30,Manager 4,Furniture,Chairs,Exec Leather,FUR-CHA-818,12,448.04,2.06,2744.27,5266.02,2521.74,47.89,Bank Transfer,1,0,4,Online,Q1,Jan,2021
ORD-1626,2021-01-04,East,West Bengal,Kolkata,CUST-8124,Customer 381,Enterprise,REP-38,Rep Name 9,Manager 4,Office Supplies,Binders,Archive Box Pack,OFF-BIN-602,46,481.01,13.27,15266.2,19189.49,3923.29,20.44,Bank Transfer,3,0,3,Offline,Q1,Jan,2021
ORD-3870,2021-01-04,West,Gujarat,Ahmedabad,CUST-6426,Customer 51,B2C,REP-28,Rep Name 32,Manager 5,Electronics,Laptops,GamerZ 15,ELE-LAP-692,1,603.59,0.37,392.17,601.37,209.2,34.79,Cash,10,0,5,Partner,Q1,Jan,2021
ORD-10271,2021-01-04,Central,Chhattisgarh,Raipur,CUST-2649,Customer 7,B2C,REP-50,Rep Name 22,Manager 2,Office Supplies,Paper,Legal Size Ream,OFF-PAP-501,4,1285.17,15.26,2791.01,4356.08,1565.06,35.93,UPI,14,0,5,Offline,Q1,Jan,2021
